score,decision,empresa_existent,empresa_nova,municipi_existent,municipi_nou,senyals
0.636,PENDENT,"Agrícola i Secció de Crèdit de Salomó, SCCL","Agrícola i Secció de Crèdit La Ginesta, SCCL",Salomó,Ginestar,"""{\""nom_similar\"":true,\""score\"":0.636363625526428,\""existent\"":\""Agrícola i Secció de Crèdit de Salomó, SCCL\"",\""nou\"":\""Agrícola i Secció de Crèdit La Ginesta, SCCL\"",\""mateixa_poblacio\"":false}"""
0.634,PENDENT,CELLERS DE L'ARBOÇ I SECCIO CREDIT SCCL,CELLERS DOMENYS I SECCIO DE CREDIT SCCL,L'Arboç,Sant Jaume dels Domenys,"""{\""nom_similar\"":true,\""score\"":0.634146332740784,\""existent\"":\""CELLERS DE L'ARBOÇ I SECCIO CREDIT SCCL\"",\""nou\"":\""CELLERS DOMENYS I SECCIO DE CREDIT SCCL\"",\""mateixa_poblacio\"":false}"""
0.632,PENDENT,FELIX MASSANA S.L,ROS MASANA FELIX,Subirats,,"""{\""nom_similar\"":true,\""score\"":0.631578922271729,\""existent\"":\""FELIX MASSANA S.L\"",\""nou\"":\""ROS MASANA FELIX\"",\""mateixa_poblacio\"":false}"""
0.625,PENDENT,CASTELO DE PEDRAGOSA SL,Castelo Pedregosa S.L.,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.625,\""existent\"":\""CASTELO DE PEDRAGOSA SL\"",\""nou\"":\""Castelo Pedregosa S.L.\"",\""mateixa_poblacio\"":false}"""
0.621,PENDENT,MONTSERRAT DURAN ESTEVE,PERE MONTSERRAT ESTEVE,,,"""{\""nom_similar\"":true,\""score\"":0.620689630508423,\""existent\"":\""MONTSERRAT DURAN ESTEVE\"",\""nou\"":\""PERE MONTSERRAT ESTEVE\"",\""mateixa_poblacio\"":false}"""
0.618,PENDENT,Celler Cooperatiu La Granada,"CELLER COOP. I SC LA GRANADA, SCCL",La Granada,,"""{\""nom_similar\"":true,\""score\"":0.617647051811218,\""existent\"":\""Celler Cooperatiu La Granada\"",\""nou\"":\""CELLER COOP. I SC LA GRANADA, SCCL\"",\""mateixa_poblacio\"":false}"""
0.611,PENDENT,OLIVELLA BONET S.A,OLIVELLA BORI SL,,,"""{\""nom_similar\"":true,\""score\"":0.611111104488373,\""existent\"":\""OLIVELLA BONET S.A\"",\""nou\"":\""OLIVELLA BORI SL\"",\""mateixa_poblacio\"":false}"""
0.609,PENDENT,JOAN SURIA PASCUAL,PERE SURIA PASCUAL,,,"""{\""nom_similar\"":true,\""score\"":0.60869562625885,\""existent\"":\""JOAN SURIA PASCUAL\"",\""nou\"":\""PERE SURIA PASCUAL\"",\""mateixa_poblacio\"":false}"""
0.606,PENDENT,PERE MONTSERRAT ESTEVE,MONTSERRAT ESTEVE MARTIN PEDRO,,,"""{\""nom_similar\"":true,\""score\"":0.60606062412262,\""existent\"":\""PERE MONTSERRAT ESTEVE\"",\""nou\"":\""MONTSERRAT ESTEVE MARTIN PEDRO\"",\""mateixa_poblacio\"":false}"""
0.600,PENDENT,COOPERATIVA AGRÍCOLA DE BATEA,"Cooperativa Agrícola de l’Argilaga, SCCL",Batea,La Secuita,"""{\""nom_similar\"":true,\""score\"":0.600000023841858,\""existent\"":\""COOPERATIVA AGRÍCOLA DE BATEA\"",\""nou\"":\""Cooperativa Agrícola de l’Argilaga, SCCL\"",\""mateixa_poblacio\"":false}"""
